CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,mda_positive_score,mda_negative_score,mda_polarity_score,mda_avg_sentence_length,mda_percentage_of_words,mda_fog_index,mda_complex_word_count,mda_word_count,mda_uncertainity_score,mda_constraining_score,mda_positive_word_proportion,mda_negative_word_proportion,mda_uncertainty_word_proportion,mda_constraining_word_proportion
6201,AMR CORP,200210,2002-10-18,10-Q/A,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000950134-02-012682.txt,,,,,,,,,,,,,,
6201,AMR CORP,200304,2003-04-01,NT 10-K,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-03-000012.txt,,,,,,,,,,,,,,
6201,AMR CORP,200304,2003-04-15,10-K,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0001047469-03-013301.txt,,,,,,,,,,,,,,
6201,AMR CORP,200305,2003-05-15,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-03-000030.txt,,,,,,,,,,,,,,
6201,AMR CORP,200307,2003-07-18,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-03-000045.txt,,,,,,,,,,,,,,
6201,AMR CORP,200810,2008-10-16,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-08-000060.txt,,,,,,,,,,,,,,
6201,AMR CORP,200902,2009-02-19,10-K,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-09-000009.txt,,,,,,,,,,,,,,
6201,AMR CORP,200904,2009-04-16,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-09-000016.txt,,,,,,,,,,,,,,
6201,AMR CORP,200907,2009-07-15,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-09-000029.txt,,,,,,,,,,,,,,
6201,AMR CORP,200910,2009-10-21,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-09-000038.txt,,,,,,,,,,,,,,
6201,AMR CORP,200911,2009-11-06,10-Q/A,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-09-000040.txt,,,,,,,,,,,,,,
6201,AMR CORP,201002,2010-02-17,10-K,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-10-000006.txt,,,,,,,,,,,,,,
6201,AMR CORP,201004,2010-04-21,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000006201-10-000013.txt,,,,,,,,,,,,,,
6201,AMR CORP,201007,2010-07-21,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000950123-10-066894.txt,,,,,,,,,,,,,,
6201,AMR CORP,201010,2010-10-20,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6201/0000950123-10-094605.txt,,,,,,,,,,,,,,
6260,ANACOMP INC,199402,1994-02-14,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6260/0000006260-94-000014.txt,,,,,,,,,,,,,,
6260,ANACOMP INC,199405,1994-05-12,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6260/0000006260-94-000016.txt,,,,,,,,,,,,,,
6260,ANACOMP INC,199712,1997-12-29,10-K,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6260/0000006260-97-000011.txt,,,,,,,,,,,,,,
6260,ANACOMP INC,199802,1998-02-17,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6260/0000006260-98-000001.txt,,,,,,,,,,,,,,
6260,ANACOMP INC,199805,1998-05-13,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6260/0000006260-98-000003.txt,,,,,,,,,,,,,,
6260,ANACOMP INC,199808,1998-08-14,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6260/0000914121-98-000672.txt,,,,,,,,,,,,,,
6260,ANACOMP INC,199812,1998-12-29,10-K405,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6260/0001047469-98-045227.txt,,,,,,,,,,,,,,
6260,ANACOMP INC,199902,1999-02-11,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6260/0000006260-99-000005.txt,,,,,,,,,,,,,,
6260,ANACOMP INC,199905,1999-05-17,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6260/0000006260-99-000007.txt,,,,,,,,,,,,,,
6260,ANACOMP INC,199908,1999-08-13,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/6260/0000006260-99-000010.txt,,,,,,,,,,,,,,
11860,BETHLEHEM STEEL CORP /DE/,199811,1998-11-12,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/11860/0000011860-98-000022.txt,,,,,,,,,,,,,,
11860,BETHLEHEM STEEL CORP /DE/,199903,1999-03-24,10-K405,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/11860/0001021408-99-000543.txt,,,,,,,,,,,,,,
11860,BETHLEHEM STEEL CORP /DE/,199905,1999-05-14,10-Q,https://www.sec.gov/Archives/https://www.sec.gov/Archives/edgar/data/11860/0000011860-99-000025.txt,,,,,,,,,,,,,,
